NO_OF_FRAMES	2308
NO_OF_CAMERAS	7
NO_OF_MARKERS	13
FREQUENCY	60
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-11-12, 11:26:18	4784.01216723
DATA_INCLUDED	3D
MARKER_NAMES	Box back	Box left	Hand left	Hand top	Shoulder	Hand right	Back left	Elbow	Back right	Back top	Index	Middle	Thumb
Frame	Time	Box back X	Box back Y	Box back Z	Box left X	Box left Y	Box left Z	Hand left X	Hand left Y	Hand left Z	Hand top X	Hand top Y	Hand top Z	Shoulder X	Shoulder Y	Shoulder Z	Hand right X	Hand right Y	Hand right Z	Back left X	Back left Y	Back left Z	Elbow X	Elbow Y	Elbow Z	Back right X	Back right Y	Back right Z	Back top X	Back top Y	Back top Z	Index X	Index Y	Index Z	Middle X	Middle Y	Middle Z	Thumb X	Thumb Y	Thumb Z	
1469	24.46667	514.739	-777.479	192.576	606.138	-743.411	190.667	522.968	-425.352	260.907	500.919	-466.220	278.172	493.253	-34.929	144.693	492.644	-425.322	248.862	745.410	148.760	113.573	456.688	-246.659	110.834	717.528	152.795	112.139	711.959	145.321	169.047	485.767	-562.272	303.701	470.519	-571.382	290.816	613.507	-514.725	269.192
1470	24.48333	515.453	-776.871	192.966	606.139	-743.398	190.659	526.346	-436.963	269.779	504.064	-478.662	284.598	495.108	-37.049	150.391	495.850	-435.473	258.312	744.928	149.538	113.286	460.809	-252.019	124.992	717.035	153.425	111.935	711.722	146.012	168.882	488.675	-578.759	304.336	472.391	-584.527	290.346	616.630	-527.525	271.309
1471	24.50000	516.546	-775.923	193.480	606.143	-743.412	190.665	529.775	-447.906	277.593	507.359	-490.456	289.594	496.924	-38.901	155.847	499.318	-445.670	266.215	744.379	150.231	112.948	464.784	-256.731	138.101	716.464	153.945	111.755	711.427	146.602	168.696	490.690	-591.809	301.978	474.835	-597.212	286.279	619.946	-539.094	271.831
1472	24.51667	514.018	-778.570	192.782	606.117	-743.469	190.709	533.169	-458.448	284.158	510.678	-501.683	293.107	498.703	-40.504	161.061	502.713	-455.432	272.899	743.772	150.861	112.693	469.054	-260.688	150.825	715.816	154.417	111.605	711.060	147.130	168.584	492.661	-602.552	298.895	476.923	-605.501	283.141	623.574	-549.174	271.119
1473	24.53333	514.064	-778.486	192.835	606.020	-743.670	190.778	536.437	-468.389	289.399	513.802	-512.201	295.590	500.589	-41.879	166.025	506.046	-464.674	278.326	743.129	151.473	112.453	473.733	-263.856	162.930	715.131	154.833	111.481	710.692	147.616	168.524	494.449	-612.733	294.927	478.901	-614.903	278.832	626.578	-558.837	269.559
1474	24.55000	513.970	-778.560	192.784	605.949	-743.748	190.773	539.783	-477.708	293.487	516.771	-521.590	296.983	502.666	-43.191	170.927	509.402	-473.000	282.753	742.527	152.028	112.297	478.816	-266.681	174.316	714.524	155.220	111.412	710.370	148.061	168.460	495.496	-621.340	290.901	479.796	-622.826	274.299	629.197	-567.522	266.242
1475	24.56667	513.795	-778.724	192.737	606.015	-743.652	190.752	542.958	-486.249	296.535	519.551	-529.895	297.646	505.009	-44.512	175.752	512.499	-480.419	286.519	741.978	152.570	112.103	484.388	-269.105	184.979	713.965	155.592	111.320	710.059	148.504	168.390	495.835	-629.843	285.116	479.964	-630.380	267.981	630.826	-575.354	261.296
1476	24.58333	513.767	-778.710	192.745	606.107	-743.484	190.703	545.427	-494.008	298.520	520.922	-537.170	297.075	507.405	-45.833	180.322	515.021	-487.027	289.160	741.426	153.020	111.888	490.292	-271.096	194.823	713.372	155.914	111.223	709.727	148.876	168.310	495.100	-635.629	279.070	479.322	-635.997	259.469	631.610	-582.126	256.078
1477	24.60000	513.858	-778.635	192.783	606.118	-743.436	190.670	547.038	-500.982	299.516	522.748	-543.132	295.610	509.807	-47.135	184.364	516.846	-492.997	290.419	740.775	153.469	111.709	496.208	-272.692	203.613	712.707	156.153	111.115	709.365	149.151	168.241	494.116	-640.355	272.243	478.204	-639.382	252.002	632.397	-587.511	251.713
1478	24.61667	515.086	-777.534	193.418	606.139	-743.402	190.665	548.464	-507.027	299.622	523.165	-548.519	292.990	512.150	-48.364	187.892	518.702	-498.192	290.964	740.124	153.864	111.514	501.571	-274.036	211.126	712.044	156.352	111.059	708.969	149.392	168.191	493.477	-643.950	265.483	477.434	-641.649	244.914	633.214	-591.872	247.425
1479	24.63333	513.919	-778.548	192.827	606.143	-743.412	190.665	550.168	-512.148	299.190	525.153	-552.589	291.141	514.279	-49.528	190.866	520.608	-502.451	291.042	739.512	154.258	111.391	506.228	-275.389	217.312	711.389	156.515	111.052	708.614	149.548	168.202	493.116	-646.488	258.838	476.892	-643.158	238.327	634.204	-595.088	242.490
1480	24.65000	513.818	-778.629	192.773	606.137	-743.410	190.667	551.844	-516.362	298.365	527.206	-555.988	289.293	516.115	-50.705	193.017	522.371	-506.061	290.924	738.961	154.546	111.323	510.480	-276.668	222.367	710.813	156.600	111.084	708.268	149.644	168.230	492.706	-648.581	252.300	475.929	-643.704	232.775	634.753	-597.499	236.976
1481	24.66667	513.908	-778.567	192.824	606.118	-743.426	190.654	553.112	-520.044	297.398	524.821	-560.468	286.388	517.765	-51.957	194.475	523.489	-508.999	290.292	738.434	154.796	111.230	514.466	-277.753	226.430	710.265	156.672	111.111	707.957	149.682	168.281	491.758	-649.991	247.360	474.676	-643.751	228.284	634.387	-599.928	231.754
1482	24.68333	514.095	-778.307	192.921	606.139	-743.398	190.659	553.779	-523.087	296.257	525.373	-562.596	283.975	519.378	-53.282	195.624	524.369	-511.452	289.449	737.861	155.101	111.256	518.037	-278.780	229.723	709.702	156.777	111.212	707.635	149.680	168.345	490.405	-651.175	243.673	473.122	-644.074	224.482	633.901	-602.269	228.052
1483	24.70000	514.752	-777.484	192.593	605.755	-744.335	191.016	554.206	-525.844	294.895	525.429	-564.531	281.594	520.975	-54.641	196.759	524.898	-513.679	288.458	737.381	155.342	111.290	521.260	-279.726	232.292	709.188	156.811	111.325	707.372	149.657	168.456	488.965	-651.677	240.874	471.442	-643.879	221.243	633.097	-604.393	224.177
1484	24.71667	514.932	-777.274	192.656	605.862	-744.163	191.082	554.619	-528.352	293.362	525.272	-566.443	279.419	522.467	-55.943	197.950	525.454	-515.683	287.437	736.969	155.542	111.306	524.056	-280.687	234.657	708.780	156.817	111.431	707.161	149.591	168.582	487.443	-652.637	237.596	469.701	-644.020	217.906	632.085	-606.050	219.926
1485	24.73333	514.862	-777.269	192.660	605.877	-744.080	190.977	554.818	-530.619	291.595	524.772	-568.329	277.467	523.805	-57.162	199.046	525.621	-517.646	286.244	736.580	155.661	111.354	526.529	-281.641	236.649	708.396	156.778	111.551	706.982	149.500	168.721	485.938	-653.165	234.583	467.955	-644.088	214.920	630.947	-607.515	215.659
1486	24.75000	514.894	-777.287	192.674	605.873	-744.037	190.920	554.601	-532.541	289.901	524.131	-569.827	275.361	524.905	-58.313	199.882	525.622	-519.192	284.755	736.217	155.748	111.437	528.539	-282.556	238.066	708.032	156.687	111.727	706.791	149.354	168.858	484.305	-653.894	232.312	466.289	-644.327	212.574	629.604	-609.028	212.172
1487	24.76667	514.757	-777.404	192.607	606.145	-743.400	190.658	554.317	-534.129	288.391	517.112	-573.084	270.851	525.780	-59.365	200.382	525.485	-520.439	283.516	735.881	155.757	111.520	530.003	-283.457	238.745	707.635	156.512	111.891	706.593	149.148	169.005	482.737	-654.305	230.792	464.725	-644.500	210.760	628.080	-610.454	209.088
