NO_OF_FRAMES	2237
NO_OF_CAMERAS	7
NO_OF_MARKERS	13
FREQUENCY	60
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-11-12, 11:33:37	5222.67107833
DATA_INCLUDED	3D
MARKER_NAMES	Box back	Box left	Middle	Index	Thumb	Hand top	Hand left	Hand right	Elbow	Shoulder	Back top	Back right	Back left
Frame	Time	Box back X	Box back Y	Box back Z	Box left X	Box left Y	Box left Z	Middle X	Middle Y	Middle Z	Index X	Index Y	Index Z	Thumb X	Thumb Y	Thumb Z	Hand top X	Hand top Y	Hand top Z	Hand left X	Hand left Y	Hand left Z	Hand right X	Hand right Y	Hand right Z	Elbow X	Elbow Y	Elbow Z	Shoulder X	Shoulder Y	Shoulder Z	Back top X	Back top Y	Back top Z	Back right X	Back right Y	Back right Z	Back left X	Back left Y	Back left Z	
549	9.13333	518.377	-789.193	192.706	610.057	-755.890	190.510	466.753	-475.348	198.350	478.167	-467.884	207.952	593.252	-382.135	194.139	476.414	-366.027	169.533	489.297	-321.240	152.080	462.996	-330.466	135.153	431.647	-161.474	-48.661	464.440	35.547	125.855	689.154	177.172	166.151	695.521	182.991	109.288	723.255	178.010	111.251
550	9.15000	518.231	-789.378	192.647	610.087	-755.906	190.522	468.702	-486.636	207.569	480.083	-479.413	217.259	596.786	-393.737	204.699	479.798	-376.723	180.901	492.858	-331.731	163.996	466.217	-340.419	147.287	434.652	-171.713	-36.917	466.252	32.087	129.719	690.398	176.614	166.276	696.718	182.507	109.495	724.449	177.556	111.370
551	9.16667	518.378	-789.204	192.738	610.075	-755.906	190.532	470.697	-498.493	215.695	482.086	-491.600	225.483	600.294	-406.209	214.548	483.176	-387.631	192.189	496.578	-342.485	175.891	469.542	-350.529	159.481	438.092	-181.532	-24.760	468.471	28.651	133.543	691.624	176.059	166.442	697.914	182.036	109.647	725.621	177.167	111.520
552	9.18333	518.226	-789.401	192.637	610.053	-755.926	190.511	472.208	-510.678	222.841	483.851	-504.215	232.881	603.731	-419.410	223.718	486.583	-398.963	203.035	500.389	-353.693	187.569	472.925	-360.844	171.509	441.640	-190.837	-12.102	470.740	25.188	137.592	692.877	175.502	166.554	699.004	181.606	109.742	726.754	176.800	111.561
553	9.20000	518.278	-789.337	192.640	610.062	-755.928	190.513	473.334	-522.889	229.692	485.025	-516.761	239.939	607.119	-433.443	231.966	489.976	-410.773	213.287	504.278	-365.283	198.694	476.369	-371.549	183.003	445.563	-199.498	1.013	473.192	21.840	141.892	694.031	175.021	166.688	700.068	181.205	109.899	727.841	176.444	111.644
554	9.21667	518.369	-789.204	192.721	610.061	-755.911	190.494	473.953	-535.175	235.568	485.765	-529.493	246.007	610.301	-448.239	239.154	493.186	-422.823	222.815	508.488	-377.824	209.121	480.186	-383.079	193.780	449.959	-207.591	14.391	475.903	18.514	146.261	695.221	174.525	166.830	701.070	180.734	109.983	728.864	176.167	111.682
555	9.23333	518.257	-789.331	192.673	610.063	-755.933	190.513	475.983	-547.602	238.572	488.157	-543.067	248.991	613.341	-463.582	244.820	496.385	-435.088	231.631	512.437	-389.968	219.195	483.627	-394.052	204.402	454.616	-215.158	27.887	479.022	15.113	150.859	696.400	173.984	166.977	702.072	180.402	110.194	729.895	175.872	111.765
556	9.25000	518.454	-789.076	192.786	610.037	-755.918	190.510	476.547	-563.770	239.285	489.009	-559.409	250.098	616.244	-479.232	248.853	499.612	-447.534	239.431	516.402	-402.331	228.482	487.176	-404.958	214.354	459.544	-222.011	41.602	482.165	11.749	155.764	697.529	173.490	167.093	702.979	179.961	110.280	730.860	175.627	111.836
557	9.26667	518.332	-789.263	192.700	610.067	-755.910	190.511	475.871	-575.398	240.959	488.762	-571.999	251.526	618.683	-494.783	251.629	502.602	-460.046	245.938	520.276	-414.725	236.879	490.641	-415.972	223.355	464.602	-228.194	55.564	485.455	8.418	160.887	698.584	172.934	167.281	703.897	179.502	110.477	731.750	175.323	111.871
558	9.28333	518.098	-789.552	192.567	610.073	-755.922	190.523	474.829	-586.406	241.020	488.209	-583.951	251.472	620.662	-509.711	253.100	505.300	-472.214	251.221	523.905	-426.833	244.209	493.979	-426.683	231.260	470.085	-233.757	69.169	488.899	5.212	165.936	699.648	172.303	167.469	704.628	178.950	110.662	732.516	174.985	111.924
