NO_OF_FRAMES	2734
NO_OF_CAMERAS	7
NO_OF_MARKERS	13
FREQUENCY	60
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-11-12, 11:51:16	6281.31358754
DATA_INCLUDED	3D
MARKER_NAMES	Shoulder	Elbow	Hand top	Hand right	Hand left	Thumb	Index	Middle	Back top	Back right	Back left	Box back	Box left
Frame	Time	Shoulder X	Shoulder Y	Shoulder Z	Elbow X	Elbow Y	Elbow Z	Hand top X	Hand top Y	Hand top Z	Hand right X	Hand right Y	Hand right Z	Hand left X	Hand left Y	Hand left Z	Thumb X	Thumb Y	Thumb Z	Index X	Index Y	Index Z	Middle X	Middle Y	Middle Z	Back top X	Back top Y	Back top Z	Back right X	Back right Y	Back right Z	Back left X	Back left Y	Back left Z	Box back X	Box back Y	Box back Z	Box left X	Box left Y	Box left Z	
1556	25.91667	421.612	206.626	170.661	340.618	183.196	-41.341	316.563	-124.770	-208.291	322.957	-74.126	-207.084	338.862	-88.620	-183.069	425.397	-171.254	-214.787	341.236	-212.916	-262.236	340.285	-204.630	-292.774	655.421	258.712	222.998	655.545	271.535	166.988	682.574	263.931	165.134	420.940	-798.511	193.197	513.960	-756.884	182.728
1557	25.93333	420.872	203.345	171.350	337.070	173.332	-38.095	317.311	-145.084	-182.133	323.219	-94.437	-184.745	339.539	-106.932	-159.936	427.760	-190.062	-185.406	341.024	-237.474	-228.532	340.139	-230.947	-260.620	654.472	258.769	222.838	654.559	271.374	166.745	681.596	264.019	164.965	420.950	-798.544	193.174	513.954	-756.889	182.725
1558	25.95000	420.106	199.808	172.188	333.640	162.353	-34.442	318.463	-164.507	-154.826	323.210	-113.045	-159.920	341.380	-124.859	-136.514	430.865	-207.972	-156.515	341.150	-260.177	-194.479	339.598	-255.898	-227.187	653.501	258.787	222.631	653.474	271.250	166.571	680.265	264.236	164.737	420.793	-798.781	193.073	513.962	-756.868	182.731
1559	25.96667	419.285	195.941	173.060	330.398	150.148	-30.213	320.006	-182.855	-126.997	324.284	-131.866	-135.788	343.432	-142.001	-112.380	433.969	-225.603	-128.861	341.955	-281.491	-159.410	338.909	-279.256	-193.074	652.565	258.816	222.462	652.144	271.201	166.317	679.221	264.161	164.407	420.917	-798.563	193.184	513.978	-756.841	182.743
1560	25.98333	418.472	191.808	174.053	327.397	136.909	-25.527	321.872	-200.129	-99.347	325.663	-150.013	-111.806	346.125	-158.363	-88.205	437.309	-241.635	-101.543	342.631	-300.907	-125.065	338.844	-301.206	-158.937	651.596	258.906	222.296	650.854	270.809	166.122	677.987	262.692	163.463	420.922	-798.565	193.179	513.978	-756.854	182.741
1561	26.00000	417.642	187.329	175.102	324.653	123.039	-20.338	324.006	-216.614	-72.391	327.274	-167.932	-88.240	348.151	-174.150	-64.447	440.912	-256.388	-74.731	344.549	-318.786	-92.024	339.280	-321.864	-124.806	650.301	259.047	222.080	649.872	270.481	165.846	676.906	262.900	163.243	420.885	-798.623	193.138	513.983	-756.831	182.727
1562	26.01667	416.748	182.533	176.314	322.154	108.960	-14.671	326.544	-232.246	-46.300	329.637	-185.180	-65.656	350.509	-189.319	-40.976	444.864	-270.224	-47.933	346.722	-335.412	-60.219	340.750	-340.562	-92.686	649.187	259.057	221.911	648.653	269.485	164.969	675.679	262.960	163.068	420.924	-798.549	193.194	513.972	-756.843	182.710
1563	26.03333	415.842	177.577	177.721	319.977	94.636	-8.382	329.425	-247.027	-20.960	332.064	-201.060	-42.597	353.234	-203.979	-17.989	449.037	-283.266	-21.937	349.165	-350.899	-30.099	343.051	-357.901	-61.916	647.921	258.954	221.799	647.221	269.149	164.851	674.320	262.966	162.940	420.889	-798.633	193.164	513.952	-756.910	182.699
1564	26.05000	415.111	172.335	179.425	318.127	80.103	-1.393	332.948	-261.393	3.382	334.914	-216.186	-20.026	356.355	-218.028	4.389	453.184	-295.679	3.178	351.842	-365.354	-1.519	345.577	-373.962	-33.107	646.709	258.644	221.748	645.485	269.404	165.352	672.908	262.230	162.202	420.899	-798.565	193.179	513.964	-756.840	182.722
1565	26.06667	414.403	166.839	181.386	316.712	65.350	6.319	337.075	-275.628	26.282	337.997	-230.655	2.365	360.025	-231.690	26.020	457.750	-307.680	26.637	354.688	-378.981	25.792	348.098	-389.063	-5.478	645.248	258.305	221.722	643.815	268.906	165.273	671.307	262.137	162.094	420.957	-798.570	193.166	513.964	-756.839	182.710
1566	26.08333	413.701	161.202	183.710	316.062	50.193	14.548	341.304	-288.898	48.446	341.425	-244.580	23.236	363.906	-244.821	46.541	462.447	-319.362	48.216	357.682	-391.902	51.845	350.439	-403.479	20.960	643.738	257.898	221.736	642.027	268.425	165.305	669.541	262.661	162.732	420.889	-798.593	193.173	513.951	-756.865	182.720
1567	26.10000	413.169	155.359	186.281	315.749	35.315	23.447	345.549	-301.793	69.433	344.989	-258.038	43.085	367.886	-257.661	66.079	467.356	-330.899	68.098	360.715	-404.372	76.273	352.852	-417.349	45.991	642.186	257.459	221.812	640.261	267.796	165.342	667.793	262.449	162.706	420.813	-798.739	193.094	513.954	-756.856	182.701
1568	26.11667	412.637	149.385	189.082	315.944	20.769	32.662	349.803	-314.439	89.045	348.700	-271.113	61.975	371.857	-270.211	84.677	471.817	-342.231	86.921	363.916	-416.411	98.694	355.401	-430.535	69.126	640.701	257.008	221.896	638.443	267.226	165.412	666.060	262.146	162.719	420.906	-798.591	193.165	513.986	-756.838	182.728
1569	26.13333	412.183	143.258	192.065	316.490	6.694	42.128	354.211	-326.836	107.473	352.266	-283.270	80.390	375.966	-282.418	102.482	476.328	-353.261	104.724	367.259	-428.225	118.752	357.872	-442.772	90.095	639.033	256.482	221.966	636.466	266.397	165.437	664.188	261.856	162.755	420.744	-798.841	193.058	513.982	-756.833	182.729
